[I] 2024/08/10 13:13:12.057+0300 [              engine] loading settings
[I] 2024/08/10 13:14:34.936+0300 [           scripting] script (layout) /tmp/.mount_voxeleVPLkpY/usr/share/VoxelEngine/res/layouts/console.xml.lua
[I] 2024/08/10 13:14:34.936+0300 [       assets-loader] loading /tmp/.mount_voxeleVPLkpY/usr/share/VoxelEngine/res/layouts/inventory.xml as core:inventory
[I] 2024/08/10 13:14:34.936+0300 [           scripting] script (layout) /tmp/.mount_voxeleVPLkpY/usr/share/VoxelEngine/res/layouts/inventory.xml.lua
[I] 2024/08/10 13:14:34.936+0300 [       assets-loader] loading /tmp/.mount_voxeleVPLkpY/usr/share/VoxelEngine/res/layouts/process.xml as core:process
[I] 2024/08/10 13:14:34.936+0300 [           scripting] script (layout) /tmp/.mount_voxeleVPLkpY/usr/share/VoxelEngine/res/layouts/process.xml.lua
[I] 2024/08/10 13:14:34.936+0300 [       assets-loader] loading /home/minuta18/.voxeng/content/voxelcraft/layouts/chest.xml as voxelcraft:chest
[I] 2024/08/10 13:14:34.936+0300 [       assets-loader] loading /home/minuta18/.voxeng/content/voxelcraft/layouts/crafting_table.xml as voxelcraft:crafting_table
[I] 2024/08/10 13:14:34.936+0300 [           scripting] script (layout) /home/minuta18/.voxeng/content/voxelcraft/layouts/crafting_table.xml.lua
[I] 2024/08/10 13:14:34.936+0300 [       assets-loader] loading /home/minuta18/.voxeng/content/voxelcraft/layouts/crafting_table_inventory.xml as voxelcraft:crafting_table_inventory
[I] 2024/08/10 13:14:34.936+0300 [           scripting] script (layout) /home/minuta18/.voxeng/content/voxelcraft/layouts/crafting_table_inventory.xml.lua
[I] 2024/08/10 13:14:34.936+0300 [       assets-loader] loading /home/minuta18/.voxeng/content/voxelcraft/layouts/died_menu.xml as voxelcraft:died_menu
[I] 2024/08/10 13:14:34.936+0300 [           scripting] script (layout) /home/minuta18/.voxeng/content/voxelcraft/layouts/died_menu.xml.lua
[I] 2024/08/10 13:14:34.936+0300 [       assets-loader] loading /home/minuta18/.voxeng/content/voxelcraft/layouts/furnace.xml as voxelcraft:furnace
[I] 2024/08/10 13:14:34.936+0300 [           scripting] script (layout) /home/minuta18/.voxeng/content/voxelcraft/layouts/furnace.xml.lua
[I] 2024/08/10 13:14:34.936+0300 [       assets-loader] loading /home/minuta18/.voxeng/content/voxelcraft/layouts/health_bar.xml as voxelcraft:health_bar
[I] 2024/08/10 13:14:34.936+0300 [           scripting] script (layout) /home/minuta18/.voxeng/content/voxelcraft/layouts/health_bar.xml.lua
[I] 2024/08/10 13:14:34.936+0300 [       assets-loader] loading /home/minuta18/.voxeng/content/voxelcraft/layouts/hunger_bar.xml as voxelcraft:hunger_bar
[I] 2024/08/10 13:14:34.937+0300 [           scripting] script (layout) /home/minuta18/.voxeng/content/voxelcraft/layouts/hunger_bar.xml.lua
[I] 2024/08/10 13:14:34.937+0300 [       assets-loader] loading /home/minuta18/.voxeng/content/voxelcraft/layouts/inventory_blocker.xml as voxelcraft:inventory_blocker
[I] 2024/08/10 13:14:34.937+0300 [           scripting] script (layout) /home/minuta18/.voxeng/content/voxelcraft/layouts/inventory_blocker.xml.lua
[I] 2024/08/10 13:14:34.937+0300 [       assets-loader] loading models/breaker as breaker
[I] 2024/08/10 13:14:34.937+0300 [       assets-loader] loading models/player-body as player-body
[I] 2024/08/10 13:14:34.937+0300 [       assets-loader] loading models/player-head as player-head
[I] 2024/08/10 13:14:34.937+0300 [       assets-loader] loading models/drop-block as drop-block
[I] 2024/08/10 13:14:34.937+0300 [       assets-loader] loading models/block as block
[I] 2024/08/10 13:14:34.937+0300 [       assets-loader] loading textures/entities/player as entities/player
[I] 2024/08/10 13:14:34.937+0300 [       assets-loader] loading textures/entities/player as entities/player
[I] 2024/08/10 13:14:34.937+0300 [               world] world version: 0.22
[I] 2024/08/10 13:14:34.947+0300 [       chunks-render] created 12 workers
[I] 2024/08/10 13:14:34.948+0300 [       scripting-hud] loading script /home/minuta18/.voxeng/content/voxelcraft/scripts/hud.lua
[I] 2024/08/10 13:14:34.948+0300 [       scripting-hud] loading script /tmp/.mount_voxeleVPLkpY/usr/share/VoxelEngine/res/content/base/scripts/hud.lua
[I] 2024/08/10 13:16:04.894+0300 [       level-control] writing world
[I] 2024/08/10 13:16:05.210+0300 [        level-screen] saving world preview
[I] 2024/08/10 13:16:05.226+0300 [              locale] locales [fi_FI (Suomi)] [uk_UA (Українська)] [pl_PL (Polski)] [ru_RU (Русский)] [en_US (English)] [de_DE (Deutsch)] [be_BY (Беларуская)] added
[I] 2024/08/10 13:16:05.226+0300 [              engine] loading assets
[I] 2024/08/10 13:16:05.227+0300 [       assets-loader] loading textures/blocks as blocks
[I] 2024/08/10 13:16:05.228+0300 [       assets-loader] loading textures/items as items
[I] 2024/08/10 13:16:05.228+0300 [       assets-loader] loading fonts/font as normal
[I] 2024/08/10 13:16:05.231+0300 [       assets-loader] loading shaders/ui as ui
[I] 2024/08/10 13:16:05.231+0300 [       assets-loader] loading shaders/main as main
[I] 2024/08/10 13:16:05.232+0300 [       assets-loader] loading shaders/lines as lines
[I] 2024/08/10 13:16:05.232+0300 [       assets-loader] loading textures/gui/menubg as gui/menubg
[I] 2024/08/10 13:16:05.232+0300 [       assets-loader] loading textures/gui/delete_icon as gui/delete_icon
[I] 2024/08/10 13:16:05.232+0300 [       assets-loader] loading textures/gui/no_icon as gui/no_icon
[I] 2024/08/10 13:16:05.232+0300 [       assets-loader] loading textures/gui/no_world_icon as gui/no_world_icon
[I] 2024/08/10 13:16:05.232+0300 [       assets-loader] loading textures/gui/warning as gui/warning
[I] 2024/08/10 13:16:05.232+0300 [       assets-loader] loading textures/gui/error as gui/error
[I] 2024/08/10 13:16:05.232+0300 [       assets-loader] loading textures/gui/cross as gui/cross
[I] 2024/08/10 13:16:05.233+0300 [       assets-loader] loading textures/gui/refresh as gui/refresh
[I] 2024/08/10 13:16:05.233+0300 [           scripting] script (layout) /tmp/.mount_voxeleVPLkpY/usr/share/VoxelEngine/res/layouts/pages/main.xml.lua
[I] 2024/08/10 13:16:06.026+0300 [      content-loader] loading pack [base]
[I] 2024/08/10 13:16:06.027+0300 [           scripting] script (block) /tmp/.mount_voxeleVPLkpY/usr/share/VoxelEngine/res/content/base/scripts/grass_block.lua
[I] 2024/08/10 13:16:06.027+0300 [           scripting] script (block) /tmp/.mount_voxeleVPLkpY/usr/share/VoxelEngine/res/content/base/scripts/sand.lua
[I] 2024/08/10 13:16:06.028+0300 [           scripting] script (block) /tmp/.mount_voxeleVPLkpY/usr/share/VoxelEngine/res/content/base/scripts/wooden_door.lua
[I] 2024/08/10 13:16:06.028+0300 [           scripting] script (item) /tmp/.mount_voxeleVPLkpY/usr/share/VoxelEngine/res/content/base/scripts/bazalt_breaker.lua
[I] 2024/08/10 13:16:06.028+0300 [           scripting] script (component) /tmp/.mount_voxeleVPLkpY/usr/share/VoxelEngine/res/content/base/scripts/components/drop.lua
[I] 2024/08/10 13:16:06.028+0300 [           scripting] script (component) /tmp/.mount_voxeleVPLkpY/usr/share/VoxelEngine/res/content/base/scripts/components/falling_block.lua
[I] 2024/08/10 13:16:06.028+0300 [           scripting] script (component) /tmp/.mount_voxeleVPLkpY/usr/share/VoxelEngine/res/content/base/scripts/components/player_animator.lua
[I] 2024/08/10 13:16:06.028+0300 [      content-loader] loading pack [voxelcraft]
[I] 2024/08/10 13:16:06.029+0300 [           scripting] script (world) /home/minuta18/.voxeng/content/voxelcraft/scripts/world.lua
[I] 2024/08/10 13:16:06.030+0300 [           scripting] script (block) /home/minuta18/.voxeng/content/voxelcraft/scripts/crafting_table.lua
[I] 2024/08/10 13:16:06.030+0300 [           scripting] script (block) /home/minuta18/.voxeng/content/voxelcraft/scripts/furnace.lua
[I] 2024/08/10 13:16:06.030+0300 [           scripting] script (block) /home/minuta18/.voxeng/content/voxelcraft/scripts/chest.lua
[I] 2024/08/10 13:16:06.030+0300 [           scripting] script (component) /home/minuta18/.voxeng/content/voxelcraft/scripts/components/breaker_animator.lua
[I] 2024/08/10 13:16:06.031+0300 [      content-loader] loading pack [examplemod]
[I] 2024/08/10 13:16:06.031+0300 [           scripting] script (world) /home/minuta18/.voxeng/content/example-mod/scripts/world.lua
[I] 2024/08/10 13:16:06.031+0300 [              locale] locales [fi_FI (Suomi)] [uk_UA (Українська)] [pl_PL (Polski)] [ru_RU (Русский)] [en_US (English)] [de_DE (Deutsch)] [be_BY (Беларуская)] added
[I] 2024/08/10 13:16:06.031+0300 [              engine] loading assets
[I] 2024/08/10 13:16:06.031+0300 [       assets-loader] loading textures/blocks as blocks
[I] 2024/08/10 13:16:06.036+0300 [       assets-loader] loading textures/items as items
[I] 2024/08/10 13:16:06.037+0300 [       assets-loader] loading fonts/font as normal
[I] 2024/08/10 13:16:06.040+0300 [       assets-loader] loading shaders/ui as ui
[I] 2024/08/10 13:16:06.040+0300 [       assets-loader] loading shaders/main as main
[I] 2024/08/10 13:16:06.040+0300 [       assets-loader] loading shaders/lines as lines
[I] 2024/08/10 13:16:06.040+0300 [       assets-loader] loading textures/gui/menubg as gui/menubg
[I] 2024/08/10 13:16:06.041+0300 [       assets-loader] loading textures/gui/delete_icon as gui/delete_icon
[I] 2024/08/10 13:16:06.041+0300 [       assets-loader] loading textures/gui/no_icon as gui/no_icon
[I] 2024/08/10 13:16:06.041+0300 [       assets-loader] loading textures/gui/no_world_icon as gui/no_world_icon
[I] 2024/08/10 13:16:06.041+0300 [       assets-loader] loading textures/gui/warning as gui/warning
[I] 2024/08/10 13:16:06.041+0300 [       assets-loader] loading textures/gui/error as gui/error
[I] 2024/08/10 13:16:06.041+0300 [       assets-loader] loading textures/gui/cross as gui/cross
[I] 2024/08/10 13:16:06.041+0300 [       assets-loader] loading textures/gui/refresh as gui/refresh
[I] 2024/08/10 13:16:06.041+0300 [       assets-loader] loading textures/layouts/heart-damage as layouts/heart-damage
[I] 2024/08/10 13:16:06.041+0300 [       assets-loader] loading textures/layouts/heart-empty as layouts/heart-empty
[I] 2024/08/10 13:16:06.042+0300 [       assets-loader] loading textures/layouts/heart-full as layouts/heart-full
[I] 2024/08/10 13:16:06.042+0300 [       assets-loader] loading textures/layouts/heart-part as layouts/heart-part
[I] 2024/08/10 13:16:06.042+0300 [       assets-loader] loading textures/layouts/hunger-empty as layouts/hunger-empty
[I] 2024/08/10 13:16:06.042+0300 [       assets-loader] loading textures/layouts/hunger-full as layouts/hunger-full
[I] 2024/08/10 13:16:06.042+0300 [       assets-loader] loading textures/layouts/hunger-part as layouts/hunger-part
[I] 2024/08/10 13:16:06.042+0300 [       assets-loader] loading textures/layouts/fire-icon as layouts/fire-icon
[I] 2024/08/10 13:16:06.042+0300 [       assets-loader] loading textures/layouts/fire-icon2 as layouts/fire-icon2
[I] 2024/08/10 13:16:06.042+0300 [       assets-loader] loading sounds/hit1 as hit1
[I] 2024/08/10 13:16:06.043+0300 [       assets-loader] loading shaders/ui3d as ui3d
[I] 2024/08/10 13:16:06.044+0300 [       assets-loader] loading shaders/entity as entity
[I] 2024/08/10 13:16:06.044+0300 [       assets-loader] loading shaders/screen as screen
[I] 2024/08/10 13:16:06.044+0300 [       assets-loader] loading shaders/background as background
[I] 2024/08/10 13:16:06.044+0300 [       assets-loader] loading shaders/skybox_gen as skybox_gen
[I] 2024/08/10 13:16:06.045+0300 [       assets-loader] loading textures/misc/moon as misc/moon
[I] 2024/08/10 13:16:06.047+0300 [       assets-loader] loading textures/misc/sun as misc/sun
[I] 2024/08/10 13:16:06.049+0300 [       assets-loader] loading textures/gui/crosshair as gui/crosshair
[I] 2024/08/10 13:16:06.050+0300 [       assets-loader] loading sounds/blocks/door_open as blocks/door_open
[I] 2024/08/10 13:16:06.051+0300 [       assets-loader] loading sounds/blocks/door_close as blocks/door_close
[I] 2024/08/10 13:16:06.052+0300 [       assets-loader] loading sounds/events/pickup as events/pickup
[I] 2024/08/10 13:16:06.052+0300 [       assets-loader] loading models/drop-item as drop-item
[I] 2024/08/10 13:16:06.052+0300 [       assets-loader] loading sounds/steps/wood as steps/wood
[I] 2024/08/10 13:16:06.055+0300 [       assets-loader] loading sounds/blocks/wood_place as blocks/wood_place
[I] 2024/08/10 13:16:06.056+0300 [       assets-loader] loading sounds/blocks/wood_break as blocks/wood_break
[I] 2024/08/10 13:16:06.057+0300 [       assets-loader] loading sounds/steps/stone as steps/stone
[I] 2024/08/10 13:16:06.060+0300 [       assets-loader] loading sounds/blocks/stone_place as blocks/stone_place
[I] 2024/08/10 13:16:06.061+0300 [       assets-loader] loading sounds/blocks/stone_break as blocks/stone_break
[I] 2024/08/10 13:16:06.062+0300 [       assets-loader] loading sounds/steps/sand as steps/sand
[I] 2024/08/10 13:16:06.064+0300 [       assets-loader] loading sounds/blocks/ground_place as blocks/ground_place
[I] 2024/08/10 13:16:06.067+0300 [       assets-loader] loading sounds/blocks/ground_break as blocks/ground_break
[I] 2024/08/10 13:16:06.068+0300 [       assets-loader] loading sounds/steps/ground as steps/ground
[I] 2024/08/10 13:16:06.071+0300 [       assets-loader] loading sounds/blocks/ground_place as blocks/ground_place
[I] 2024/08/10 13:16:06.073+0300 [       assets-loader] loading sounds/blocks/ground_break as blocks/ground_break
[I] 2024/08/10 13:16:06.074+0300 [       assets-loader] loading sounds/steps/grass as steps/grass
[I] 2024/08/10 13:16:06.077+0300 [       assets-loader] loading sounds/blocks/ground_place as blocks/ground_place
[I] 2024/08/10 13:16:06.079+0300 [       assets-loader] loading sounds/blocks/ground_break as blocks/ground_break
[I] 2024/08/10 13:16:06.080+0300 [       assets-loader] loading sounds/steps/grass as steps/grass
[I] 2024/08/10 13:16:06.082+0300 [       assets-loader] loading sounds/steps/grass as steps/grass
[I] 2024/08/10 13:16:06.085+0300 [       assets-loader] loading sounds/steps/grass as steps/grass
[I] 2024/08/10 13:16:06.087+0300 [       assets-loader] loading sounds/steps/metal as steps/metal
[I] 2024/08/10 13:16:06.092+0300 [       assets-loader] loading sounds/blocks/metal_place as blocks/metal_place
[I] 2024/08/10 13:16:06.094+0300 [       assets-loader] loading sounds/blocks/metal_break as blocks/metal_break
[I] 2024/08/10 13:16:06.095+0300 [       assets-loader] loading sounds/steps/glass as steps/glass
[I] 2024/08/10 13:16:06.099+0300 [       assets-loader] loading sounds/blocks/glass_place as blocks/glass_place
[I] 2024/08/10 13:16:06.100+0300 [       assets-loader] loading sounds/blocks/glass_break as blocks/glass_break
[I] 2024/08/10 13:16:06.101+0300 [       assets-loader] loading sounds/steps/carpet as steps/carpet
[I] 2024/08/10 13:16:06.103+0300 [       assets-loader] loading sounds/blocks/carpet_place as blocks/carpet_place
[I] 2024/08/10 13:16:06.104+0300 [       assets-loader] loading sounds/blocks/carpet_break as blocks/carpet_break
[I] 2024/08/10 13:16:06.105+0300 [       assets-loader] loading /tmp/.mount_voxeleVPLkpY/usr/share/VoxelEngine/res/layouts/console.xml as core:console
[I] 2024/08/10 13:16:06.105+0300 [           scripting] script (layout) /tmp/.mount_voxeleVPLkpY/usr/share/VoxelEngine/res/layouts/console.xml.lua
[I] 2024/08/10 13:16:06.105+0300 [       assets-loader] loading /tmp/.mount_voxeleVPLkpY/usr/share/VoxelEngine/res/layouts/inventory.xml as core:inventory
[I] 2024/08/10 13:16:06.105+0300 [           scripting] script (layout) /tmp/.mount_voxeleVPLkpY/usr/share/VoxelEngine/res/layouts/inventory.xml.lua
[I] 2024/08/10 13:16:06.105+0300 [       assets-loader] loading /tmp/.mount_voxeleVPLkpY/usr/share/VoxelEngine/res/layouts/process.xml as core:process
[I] 2024/08/10 13:16:06.105+0300 [           scripting] script (layout) /tmp/.mount_voxeleVPLkpY/usr/share/VoxelEngine/res/layouts/process.xml.lua
[I] 2024/08/10 13:16:06.105+0300 [       assets-loader] loading /home/minuta18/.voxeng/content/voxelcraft/layouts/chest.xml as voxelcraft:chest
[I] 2024/08/10 13:16:06.105+0300 [       assets-loader] loading /home/minuta18/.voxeng/content/voxelcraft/layouts/crafting_table.xml as voxelcraft:crafting_table
[I] 2024/08/10 13:16:06.105+0300 [           scripting] script (layout) /home/minuta18/.voxeng/content/voxelcraft/layouts/crafting_table.xml.lua
[I] 2024/08/10 13:16:06.105+0300 [       assets-loader] loading /home/minuta18/.voxeng/content/voxelcraft/layouts/crafting_table_inventory.xml as voxelcraft:crafting_table_inventory
[I] 2024/08/10 13:16:06.105+0300 [           scripting] script (layout) /home/minuta18/.voxeng/content/voxelcraft/layouts/crafting_table_inventory.xml.lua
[I] 2024/08/10 13:16:06.105+0300 [       assets-loader] loading /home/minuta18/.voxeng/content/voxelcraft/layouts/died_menu.xml as voxelcraft:died_menu
[I] 2024/08/10 13:16:06.105+0300 [           scripting] script (layout) /home/minuta18/.voxeng/content/voxelcraft/layouts/died_menu.xml.lua
[I] 2024/08/10 13:16:06.105+0300 [       assets-loader] loading /home/minuta18/.voxeng/content/voxelcraft/layouts/furnace.xml as voxelcraft:furnace
[I] 2024/08/10 13:16:06.105+0300 [           scripting] script (layout) /home/minuta18/.voxeng/content/voxelcraft/layouts/furnace.xml.lua
[I] 2024/08/10 13:16:06.106+0300 [       assets-loader] loading /home/minuta18/.voxeng/content/voxelcraft/layouts/health_bar.xml as voxelcraft:health_bar
[I] 2024/08/10 13:16:06.106+0300 [           scripting] script (layout) /home/minuta18/.voxeng/content/voxelcraft/layouts/health_bar.xml.lua
[I] 2024/08/10 13:16:06.106+0300 [       assets-loader] loading /home/minuta18/.voxeng/content/voxelcraft/layouts/hunger_bar.xml as voxelcraft:hunger_bar
[I] 2024/08/10 13:16:06.106+0300 [           scripting] script (layout) /home/minuta18/.voxeng/content/voxelcraft/layouts/hunger_bar.xml.lua
[I] 2024/08/10 13:16:06.106+0300 [       assets-loader] loading /home/minuta18/.voxeng/content/voxelcraft/layouts/inventory_blocker.xml as voxelcraft:inventory_blocker
[I] 2024/08/10 13:16:06.106+0300 [           scripting] script (layout) /home/minuta18/.voxeng/content/voxelcraft/layouts/inventory_blocker.xml.lua
[I] 2024/08/10 13:16:06.106+0300 [       assets-loader] loading models/breaker as breaker
[I] 2024/08/10 13:16:06.106+0300 [       assets-loader] loading models/player-body as player-body
[I] 2024/08/10 13:16:06.106+0300 [       assets-loader] loading models/player-head as player-head
[I] 2024/08/10 13:16:06.106+0300 [       assets-loader] loading models/drop-block as drop-block
[I] 2024/08/10 13:16:06.106+0300 [       assets-loader] loading models/block as block
[I] 2024/08/10 13:16:06.106+0300 [       assets-loader] loading textures/entities/player as entities/player
[I] 2024/08/10 13:16:06.106+0300 [       assets-loader] loading textures/entities/player as entities/player
[I] 2024/08/10 13:16:06.106+0300 [               world] world version: 0.22
[I] 2024/08/10 13:16:06.120+0300 [       chunks-render] created 12 workers
[I] 2024/08/10 13:16:06.120+0300 [       scripting-hud] loading script /home/minuta18/.voxeng/content/voxelcraft/scripts/hud.lua
[I] 2024/08/10 13:16:06.120+0300 [       scripting-hud] loading script /tmp/.mount_voxeleVPLkpY/usr/share/VoxelEngine/res/content/base/scripts/hud.lua
[I] 2024/08/10 13:16:28.814+0300 [       level-control] writing world
[I] 2024/08/10 13:16:29.124+0300 [        level-screen] saving world preview
[I] 2024/08/10 13:16:29.142+0300 [              locale] locales [fi_FI (Suomi)] [uk_UA (Українська)] [pl_PL (Polski)] [ru_RU (Русский)] [en_US (English)] [de_DE (Deutsch)] [be_BY (Беларуская)] added
[I] 2024/08/10 13:16:29.142+0300 [              engine] loading assets
[I] 2024/08/10 13:16:29.142+0300 [       assets-loader] loading textures/blocks as blocks
[I] 2024/08/10 13:16:29.144+0300 [       assets-loader] loading textures/items as items
[I] 2024/08/10 13:16:29.144+0300 [       assets-loader] loading fonts/font as normal
[I] 2024/08/10 13:16:29.147+0300 [       assets-loader] loading shaders/ui as ui
[I] 2024/08/10 13:16:29.147+0300 [       assets-loader] loading shaders/main as main
[I] 2024/08/10 13:16:29.147+0300 [       assets-loader] loading shaders/lines as lines
[I] 2024/08/10 13:16:29.147+0300 [       assets-loader] loading textures/gui/menubg as gui/menubg
[I] 2024/08/10 13:16:29.148+0300 [       assets-loader] loading textures/gui/delete_icon as gui/delete_icon
[I] 2024/08/10 13:16:29.148+0300 [       assets-loader] loading textures/gui/no_icon as gui/no_icon
[I] 2024/08/10 13:16:29.148+0300 [       assets-loader] loading textures/gui/no_world_icon as gui/no_world_icon
[I] 2024/08/10 13:16:29.148+0300 [       assets-loader] loading textures/gui/warning as gui/warning
[I] 2024/08/10 13:16:29.148+0300 [       assets-loader] loading textures/gui/error as gui/error
[I] 2024/08/10 13:16:29.148+0300 [       assets-loader] loading textures/gui/cross as gui/cross
[I] 2024/08/10 13:16:29.148+0300 [       assets-loader] loading textures/gui/refresh as gui/refresh
[I] 2024/08/10 13:16:29.149+0300 [           scripting] script (layout) /tmp/.mount_voxeleVPLkpY/usr/share/VoxelEngine/res/layouts/pages/main.xml.lua
[I] 2024/08/10 13:16:30.288+0300 [              engine] saving settings
[I] 2024/08/10 13:16:30.288+0300 [              engine] saving bindings
[I] 2024/08/10 13:16:30.288+0300 [              engine] shutting down
[I] 2024/08/10 13:16:30.288+0300 [              engine] gui finished
[I] 2024/08/10 13:16:30.291+0300 [              engine] scripting finished
[I] 2024/08/10 13:16:30.305+0300 [              engine] engine finished
